CNPJ,cd_Ugestora,CNPJ BÁSICO_x,CNPJ BÁSICO_y,CNPJ ORDEM,CNPJ DV,IDENTIFICADOR MATRIZ/FILIAL,NOME FANTASIA,SITUAÇÃO CADASTRAL,DATA SITUAÇÃO CADASTRAL,MOTIVO SITUAÇÃO CADASTRAL,NOME DA CIDADE NO EXTERIOR,PAÍS,DATA DE INÍCIO ATIVIDADE,CNAE FISCAL PRINCIPAL,CNAE FISCAL SECUNDÁRIA,TIPO DE LOGRADOURO,LOGRADOURO,NÚMERO,COMPLEMENTO,BAIRRO,CEP,UF,MUNICÍPIO,DDD 1,TELEFONE 1,DDD 2,TELEFONE 2,DDD DO FAX,FAX,CORREIO ELETRÔNICO,SITUAÇÃO ESPECIAL,DATA DA SITUAÇÃO ESPECIAL,Código,Cidade
00371600000166,101015,00371600,00371600,0001,66,1.0,PBGAS,2.0,20051103.0,0.0,,,19941229.0,3520401.0,,RUA,ANTONIO RABELO JUNIOR,161,SALA  1201 A 1212         SALA  1901 A 1911,MIRAMAR,58032090.0,PB,2051.0,83.0,88024628,,,83.0,32472244,CONTABILIDADE@PBGAS.COM.BR,,,2051.0,JOAO PESSOA
00371600000166,310901,00371600,00371600,0001,66,1.0,PBGAS,2.0,20051103.0,0.0,,,19941229.0,3520401.0,,RUA,ANTONIO RABELO JUNIOR,161,SALA  1201 A 1212         SALA  1901 A 1911,MIRAMAR,58032090.0,PB,2051.0,83.0,88024628,,,83.0,32472244,CONTABILIDADE@PBGAS.COM.BR,,,2051.0,JOAO PESSOA
00371600000247,101015,00371600,00371600,0002,47,2.0,PBGAS - UNIDADE CAMPINA GRANDE,2.0,20110217.0,0.0,,,20110217.0,3520401.0,,RUA,TIRADENTES,20,SALA  201 E 202,CENTRO,58400283.0,PB,1981.0,83.0,32477609.0,83.0,32266979.0,83.0,32472244.0,pbgas@pbgas.com.br,,,1981.0,CAMPINA GRANDE
00371600000328,101015,00371600,00371600,0003,28,2.0,PBGAS - UNIDADE BAYEUX,2.0,20110217.0,0.0,,,20110217.0,3520401.0,,RUA,MANOEL PAULINO GOMES,S/N,CONJ  MARIO ANDREAZZA,COMERCIAL NORTE,58309860.0,PB,1937.0,83.0,32191723,83.0,32191700.0,83.0,32472244,REGINA@PBGAS.COM.BR,,,1937.0,BAYEUX
00371600000409,101015,00371600,00371600,0004,09,2.0,PBGAS - ANEXO I,8.0,20201027.0,1.0,,,20130307.0,3520401.0,,RUA,ANTONIO RABELO JUNIOR,117,,MIRAMAR,58032090.0,PB,2051.0,83.0,88024628,,,83.0,32472244,CONTABILIDADE@PBGAS.COM.BR,,,2051.0,JOAO PESSOA
00371600000590,101015,00371600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00371600000670,101015,00371600,00371600,0006,70,2.0,PBGAS - ALMOXARIFADO I JP,2.0,20151110.0,0.0,,,20151110.0,3520401.0,,RUA,ESTEVAO GERSON CARNEIRO DA CUNHA,145,GALPAOH01                 BLOCO H,AGUA FRIA,58073020.0,PB,2051.0,83.0,32191723.0,,,83.0,32191700,CONTABILIDADE@PBGAS.COM.BR,,,2051.0,JOAO PESSOA
00371600000751,101015,00371600,00371600,0007,51,2.0,PBGAS - OFICINA JP,8.0,20230605.0,1.0,,,20160314.0,3520401.0,,RUA,ESTEVAO GERSON CARNEIRO DA CUNHA,145,BLOCO B01,AGUA FRIA,58073020.0,PB,2051.0,83.0,32191723.0,83.0,32191728.0,83.0,32472244.0,CONTABILIDADE@PBGAS.COM.BR,,,2051.0,JOAO PESSOA
00387196000119,101002,00387196,00387196,0001,19,1.0,CMDCA,2.0,20051103.0,0.0,,,19950111.0,9430800.0,"9493600,9499500",RUA,FRANCISCO DE MELO,S/N,,CENTRO,58540000.0,PB,2227.0,,,,,,,,,,2227.0,SUME
00431374000161,101178,00431374,00431374,0001,61,1.0,CAMARA MUNICIPAL DE SAO BENTO,2.0,19990227.0,0.0,,,19950110.0,8411600.0,,RUA,JOAQUIM RIBEIRO,SN,,CENTRO,58865000.0,PB,2179.0,,,,,,,,,,2179.0,SAO BENTO
